(33, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(98, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(435, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(510, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(588, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(659, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(720, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(768, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(850, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(941, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(942, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(1542, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(1709, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(1764, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(1831, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(2026, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(2030, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(2145, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(2238, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(2284, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(2385, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(2455, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(2527, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(2572, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(2604, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(2734, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(2757, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(2765, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(2817, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(2824, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(2951, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(3184, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(3289, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(3587, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(3619, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
